country_name,iso3,year,v2x_libdem,v2x_jucon,v2cacamps,v2smpolsoc,e_gdppc,covid_intensity,stringency_norm,stringency_mean,gdp_per_capita,econ_support_norm,econ_support_mean,stringency_avg_2020_2021,econ_support_avg_2020_2021,gdp_per_capita_2019
Australia,AUS,2010,0.86,0.991,-1.17,0.82,109.397,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2011,0.864,0.991,-1.17,0.82,110.829,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2012,0.864,0.991,-1.17,0.82,111.805,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2013,0.823,0.982,-1.17,0.7,112.16,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2014,0.815,0.982,-1.098,0.7,111.923,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2015,0.829,0.982,-1.098,0.7,110.23,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2016,0.832,0.986,-1.098,0.7,110.881,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2017,0.825,0.986,-1.098,0.7,113.022,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2018,0.813,0.985,-1.098,0.7,114.599,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2019,0.779,0.985,-1.098,0.558,115.34,0.0,0.0,0.0,,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2020,0.797,0.988,-1.098,0.558,,3.58657,0.564717,56.471685,44648.71,0.583333,58.333333,58.967569,35.159817,115340.0
Australia,AUS,2021,0.785,0.988,-1.154,0.486,,4.036186,0.614635,61.463452,44648.71,0.119863,11.986301,58.967569,35.159817,115340.0
Australia,AUS,2022,0.8,0.988,-1.154,0.486,,6.380546,0.242494,24.249397,44648.71,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2023,0.804,0.988,-1.154,0.486,,5.522061,0.0,0.0,44648.71,0.0,0.0,58.967569,35.159817,115340.0
Australia,AUS,2024,0.808,0.988,-1.154,0.546,,3.556776,0.0,0.0,44648.71,0.0,0.0,58.967569,35.159817,115340.0
Austria,AUT,2010,0.805,0.92,-0.522,0.813,94.298,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2011,0.806,0.92,-0.522,0.746,95.511,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2012,0.806,0.92,-0.522,0.746,96.04,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2013,0.807,0.906,-0.522,0.614,95.979,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2014,0.808,0.906,-0.522,0.614,95.732,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2015,0.808,0.906,-0.353,0.614,94.617,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2016,0.781,0.906,-0.415,0.614,94.98,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2017,0.785,0.906,-0.415,0.527,96.83,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2018,0.784,0.894,-0.415,0.527,98.179,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2019,0.796,0.923,-0.415,0.481,98.753,0.0,0.0,0.0,,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2020,0.789,0.907,-0.547,0.232,,6.657536,0.475853,47.585276,45436.69,0.715164,71.516393,54.604816,85.758197,98753.0
Austria,AUT,2021,0.783,0.924,-0.357,0.232,,6.959607,0.616244,61.624356,45436.69,1.0,100.0,54.604816,85.758197,98753.0
Austria,AUT,2022,0.762,0.924,-0.357,0.232,,6.311426,0.387455,38.745479,45436.69,1.0,100.0,54.604816,85.758197,98753.0
Austria,AUT,2023,0.777,0.944,-0.232,0.116,,4.674976,0.0,0.0,45436.69,0.0,0.0,54.604816,85.758197,98753.0
Austria,AUT,2024,0.762,0.944,-0.233,0.116,,0.0,0.0,0.0,45436.69,0.0,0.0,54.604816,85.758197,98753.0
Belgium,BEL,2010,0.839,0.936,-1.717,0.791,92.563,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2011,0.837,0.936,-1.717,0.791,92.686,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2012,0.837,0.936,-1.717,1.213,92.725,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2013,0.845,0.936,-1.717,1.213,92.798,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2014,0.843,0.936,-1.717,1.068,92.759,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2015,0.84,0.936,-1.717,0.29,91.647,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2016,0.838,0.93,-1.717,0.166,92.339,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
Belgium,BEL,2017,0.837,0.93,-1.717,0.166,94.35,0.0,0.0,0.0,,0.0,0.0,51.107466,68.084016,96770.0
