iso3,year,v2smpolsoc,v2smpolsoc_codelow,v2smpolsoc_codehigh,stringency_mean,stringency_max,p_score_mean,p_score_peak,cum_excess_per_100k,population,urban_pct,health_exp_gdp,gdp_pc_ppp,pop_density,ethnic_frac,region
AUS,2019,0.558,0.28,0.868,,,,,,25334826.0,87.3019647888406,10.25421429,58048.6188420831,3.29365056253104,0.0929,AusNZ
AUS,2020,0.558,0.28,0.868,55.85450819672131,75.46,1.040576923076923,10.74,-13.095415,25649248.0,87.2713470458985,10.70324135,57260.4650530108,3.33452695130798,0.0929,AusNZ
AUS,2021,0.486,0.205,0.792,61.46345205479452,78.24,6.99,16.59,5.965798,25685412.0,87.2353407632761,10.51612186,58327.4146842325,3.33922844714392,0.0929,AusNZ
AUS,2022,0.486,0.205,0.792,24.249397260273973,55.32,18.9225,36.93,91.96746,26018721.0,87.3343268253813,9.89226055,60029.1329190733,3.38256023775289,0.0929,AusNZ
AUS,2023,0.486,0.205,0.792,,,13.68,23.31,138.60222000000002,26659922.0,87.4866955653765,10.39852047,60684.9596204883,3.46591948538875,0.0929,AusNZ
AUS,2024,0.546,0.106,0.986,,,16.466470588235296,21.1,,27196812.0,87.6021469990446,,60303.9817116245,,0.0929,AusNZ
AUT,2019,0.481,0.14,0.767,,,,,,8879920.0,68.3176044750522,10.62530422,64609.374295614,107.609306834707,0.1068,W_Europe
AUT,2020,0.232,-0.163,0.521,47.06521857923497,82.41,10.242115384615385,58.7,80.50266,8916864.0,68.5410177924001,11.41292953,60276.4153459141,108.057004362579,0.1068,W_Europe
AUT,2021,0.232,-0.163,0.521,61.62435616438356,82.41,11.016153846153847,42.35,162.4463,8955797.0,68.773601700253,12.185215,62968.9422311892,108.528805138148,0.1068,W_Europe
AUT,2022,0.232,-0.163,0.521,38.745479452054795,55.69,12.817307692307692,38.12,256.74922000000004,9041851.0,68.998085127906,11.22519779,65694.5513287254,109.571631119729,0.1068,W_Europe
AUT,2023,0.116,-0.208,0.466,,,9.122075471698114,32.72,317.80242,9131761.0,69.2265358276021,11.15297318,64536.2981841434,110.661185167232,0.1068,W_Europe
AUT,2024,0.116,-0.208,0.466,,,-4.067407407407408,2.14,,9177982.0,69.4658181096788,11.8325634,63788.078678479,,0.1068,W_Europe
BEL,2019,0.336,-0.079,0.734,,,,,,11488980.0,87.0961631189222,10.85831451,60479.9769955466,376.761985964452,0.5554,W_Europe
BEL,2020,1.021,0.551,1.463,51.53062841530054,81.48,15.964038461538461,104.85,147.74275,11538604.0,87.2964994991269,11.46253014,57333.5424137922,378.38932248967,0.5554,W_Europe
BEL,2021,0.989,0.516,1.429,50.114904109589034,75.93,2.9465384615384616,29.65,174.07869,11586195.0,87.4305564090635,11.28825092,60669.2137746531,379.949990161999,0.5554,W_Europe
BEL,2022,1.255,0.774,1.762,15.462109589041097,33.89,6.312115384615385,34.73,233.4513,11680210.0,87.489200269855,10.73976326,62561.7810453236,383.033055683085,0.5554,W_Europe
BEL,2023,1.03,0.532,1.468,,,2.4590566037735853,27.61,259.69294,11779946.0,87.551492636772,10.80371571,63095.4017281289,386.303731881682,0.5554,W_Europe
BEL,2024,1.03,0.532,1.468,,,-1.3470833333333332,8.53,,11858610.0,87.6126557010527,,63347.7858809235,,0.5554,W_Europe
CAN,2019,1.174,0.666,1.608,,,,,,37618495.0,81.7363672047941,11.04823494,57583.845798092,4.19587500655283,0.7124,N_America
CAN,2020,1.174,0.666,1.608,55.79491803278688,76.39,11.125,31.81,33.01195,38028638.0,81.9509888710566,13.01732922,54092.8790317796,4.24162135453439,0.7124,N_America
CAN,2021,1.748,1.12,2.227,69.4129315068493,75.46,13.155576923076923,25.74,65.13482,38239864.0,82.1779279079275,12.38106632,56995.1176781351,4.351026204103,0.7124,N_America
CAN,2022,0.792,0.293,1.195,25.710794520547946,71.86,21.574230769230766,33.16,142.61033,38935934.0,82.3500897353968,11.08119678,58321.0611834624,4.43022676846405,0.7124,N_America
CAN,2023,0.792,0.293,1.195,,,19.175094339622643,29.28,186.79948,40083484.0,82.5250564408346,11.18692875,57517.4431587432,4.56079784268436,0.7124,N_America
CAN,2024,0.792,0.293,1.195,,,18.290000000000003,23.13,,41288599.0,82.7002565766633,11.3095665,56706.8238031978,,0.7124,N_America
CHE,2019,-0.451,-0.859,0.011,,,,,,8575280.0,80.7792907322229,11.42588997,79596.7029465098,217.042781721823,0.5314,W_Europe
CHE,2020,-0.744,-1.25,-0.238,42.28521857923497,73.15,13.168653846153846,69.89,90.54583,8638167.0,82.3416838515457,11.98960876,77324.8870934007,218.63446962171,0.5314,W_Europe
