,mean,sd,hdi_3,hdi_97,ess_bulk,ess_tail,r_hat
mu_alpha,-0.029526941433278,0.5299785621125674,-1.0149589953646594,0.9843616561254526,3976.0571032770736,4932.288377208995,1.000075125509215
mu_beta_p,-0.04185148324388927,0.06555305041513923,-0.16692889954131568,0.07980044032316529,7311.194938018976,5058.622065315493,1.000555529675443
mu_beta_s,-0.016811141899023836,0.09956021829508654,-0.20306571594216738,0.17038866338522368,8882.532446608608,5786.653380705068,1.0010329876948838
sigma_a_r,0.41794208043735387,0.25296655849210076,6.767152041148491e-05,0.8430837463249127,1827.2850650833343,2878.7501393744533,1.0019467875398214
sigma_a_c,1.1116591909677231,0.13519153962055597,0.8603217626999802,1.3621450415394143,3086.2523888686424,4880.473277511113,1.001208481295405
sigma_beta_p,0.09081139734738795,0.07924778387128792,2.3566159884546006e-05,0.22693638775685587,3719.400765903925,4248.814055698149,1.0014584163101345
sigma_beta_s,0.06956030303264604,0.052436802042290155,9.729270779618764e-06,0.1631168519766184,2934.793767345592,3892.3500509991954,1.0006358057262055
sigma_y,0.2648747739019301,0.02476778225064619,0.22055866394750717,0.31246839592607706,3855.9738390468438,5139.723892146607,1.000334492979033
alpha_r[AusNZ],0.11006947273824627,0.6462134962721787,-1.0923003226040215,1.3212348877701843,4405.102722616929,5216.144284223923,0.9999751348230226
alpha_r[E_Asia],0.16659337957816925,0.6679517433868739,-1.0309590059191713,1.446198959041502,4218.454669672659,4952.260692971014,1.0008328857291058
alpha_r[E_Europe],-0.500994712825421,0.693080312333484,-1.8285688088748797,0.7482324359750467,3259.234248522389,4724.612526572752,1.0009546053112064
alpha_r[L_America],-0.04972440781481556,0.627627708795138,-1.1752376731572673,1.175143031445802,4527.451377785681,4948.694762474437,1.0003660406635546
alpha_r[N_America],0.08840006895976514,0.6663285962697401,-1.1232237805370688,1.3729234921526432,4605.30498959792,4927.558919192687,1.0002567905581978
alpha_r[N_Europe],0.2671092766651651,0.5919287865615498,-0.834010455631592,1.3747184305808478,3534.61685341087,4455.035030618731,1.0012054165049693
alpha_r[S_Europe],-0.058563734009371454,0.6025607511911177,-1.2106036446487778,1.0788850681289606,4294.854821924507,5254.19415646114,0.9999065225617043
alpha_r[W_Asia],-0.2287941059677405,0.6817859336005312,-1.5719856166923305,1.0305246740609475,4622.898063696014,5647.464083133362,1.0001683120940863
alpha_r[W_Europe],-0.06776428253799296,0.5908059409488712,-1.1652526786083426,1.049708792338626,4070.6277298149357,4755.252263949984,1.0000148969833171
beta_p[AusNZ],-0.10608517044704106,0.11640621689304362,-0.34172114569573786,0.08523779507216508,6315.641427140068,6758.511865688405,1.000846838353134
beta_p[E_Asia],0.007112072523524643,0.09672849561521389,-0.16321145535665688,0.20379488161017864,7226.755419140565,6973.554116703187,0.999907326037686
beta_p[E_Europe],-0.020579817434881218,0.07606655068596133,-0.16480102078350375,0.12776770921093908,10247.41614640872,6582.249968075626,1.0003234410477404
beta_p[L_America],-0.03478919752982298,0.054968851191432605,-0.1410369804056193,0.06580489202982198,9300.69095586332,7594.4548392326915,0.9996963726925036
beta_p[N_America],-0.07725787836526515,0.12477272940906335,-0.34511441812052107,0.12998576241307214,7947.581715592264,6364.444380243669,1.0000683762292433
beta_p[N_Europe],-0.03926425455886464,0.06770192043995797,-0.17529199431244946,0.08180498893291242,10782.341317936809,7242.42579605104,0.9998469657389694
beta_p[S_Europe],-0.019430913005701468,0.10455408156147562,-0.21567076485566847,0.19467549002405451,10055.103029210646,7262.494131607524,1.000468392151491
beta_p[W_Asia],-0.0710937884955685,0.1419400917228016,-0.3610653188104573,0.16552069025097643,8926.13509347391,6415.883868317176,1.0004369450801778
beta_p[W_Europe],-0.025707265034855587,0.09948203918915652,-0.2122207380408723,0.18392928110930176,10107.271975294841,7157.446953954409,1.0003254094523326
beta_s[AusNZ],-0.014314800870115302,0.11951913713113313,-0.23792576667641713,0.21814020306188567,9185.763972371291,6479.714789184092,1.000101705983112
beta_s[E_Asia],-0.03409372056843925,0.11436776417437598,-0.24286660848501354,0.18960934101185595,9784.515749481063,6602.386915087266,1.0004980963417303
beta_s[E_Europe],0.0028163149139057916,0.10927497985690048,-0.19343012738511856,0.2172687821992187,8573.183871628811,6541.555214551754,1.0009129482689765
beta_s[L_America],-0.0715523633072498,0.10554225995967269,-0.2651226105860348,0.1310980640794895,9264.818743256323,6538.649338460827,0.9999226784525227
beta_s[N_America],0.03746785830764305,0.12783255672074376,-0.19947854469950244,0.2774744786648988,6477.425023836473,6176.868265194336,1.0003111429435696
beta_s[N_Europe],-0.00039985238791700865,0.10358826163872076,-0.19206237441639912,0.19501931912812873,8588.010210090948,6028.537903324927,1.0004283589331955
beta_s[S_Europe],-0.03580081899494058,0.1017120710209168,-0.22663236966570008,0.15493075638757253,10629.117962247425,7043.934267315554,1.0002028931826346
beta_s[W_Asia],0.006527212673882233,0.11898754929730576,-0.21652621519046203,0.23295959152837364,7954.443491903729,6687.86427340541,1.0017094722618136
beta_s[W_Europe],-0.04066797901495146,0.10192339123899095,-0.2329943602062939,0.14790995107369057,10050.663101303411,6355.329025588096,1.0004287992635696
gamma[log_pop],-0.3478246733911326,0.21503152424346456,-0.7646970779500272,0.04607839456555391,3950.659665485289,4635.924814470029,1.0000613836995305
gamma[urban_pct],0.2772829288242028,0.21586701807408362,-0.11715314384651875,0.7002787318239463,3140.262021950081,4215.900572728177,1.0008023224296136
gamma[health_exp_gdp],-0.04005088854690208,0.14201712796032512,-0.31651498056837674,0.21750311774235362,5793.8322622589185,5405.842805968023,1.0001250021042707
gamma[log_gdp_pc],0.33956402386742524,0.22445101174212923,-0.08489280447883123,0.7654900121681052,4056.075741331944,5026.342704773484,1.0007329056110275
gamma[ethnic_frac],-0.06250547366021837,0.19661531559802373,-0.4251437242530108,0.319065817937841,3752.731332175473,4786.498695158968,1.0009505556566562
theta_year[2020],0.08476373333970727,0.506497571224612,-0.8144663751201614,1.0745249612705288,3931.746286935737,5012.8729476557055,1.0004118618042837
theta_year[2021],0.014655086952030723,0.5070799634510692,-0.9076952079298729,0.968762559614711,3956.157896757435,4966.1743825152835,1.0005448428417187
theta_year[2022],-0.08796832062555697,0.517388048329363,-1.076207456660919,0.8494020508453062,4097.232730428054,5147.4933307159545,1.0002095813545868
