term,coef,se,t,ci_low,ci_high,spec
p_score_mean,-0.003250083958619022,0.001330693015667115,-2.4423995018788465,-0.005906898286248334,-0.0005932696309897097,TWFE / Driscoll-Kraay
stringency_mean,0.0032547013265222034,0.000838102689784441,3.8834159181129806,0.0015813753166703617,0.004928027336374045,TWFE / Driscoll-Kraay
p_score_mean,-0.003250083958619022,0.0047576546171546556,-0.6831273432292053,-0.012749047884894187,0.006248879967656143,TWFE / cluster-by-country
stringency_mean,0.0032547013265222034,0.00868402727378544,0.37479169789657424,-0.014083518541529245,0.020592921194573652,TWFE / cluster-by-country
p_score_mean,-0.003250083958619022,0.004448678026936861,-0.7305729789703096,-0.012132156218576131,0.005631988301338087,TWFE / heteroskedastic-robust
stringency_mean,0.0032547013265222034,0.006520758335423217,0.49912926673596214,-0.009764412750570491,0.0162738154036149,TWFE / heteroskedastic-robust
p_score_mean,-0.003250083958619022,0.0028708674200054415,,-0.008497765940509302,0.0024382511535364208,TWFE / region-WCB
stringency_mean,0.0032547013265222034,0.006188737703883205,,-0.009112818337585546,0.014900071891371932,TWFE / region-WCB
p_score_mean,-0.002540000044661159,0.004231659109259488,-0.6002373960377073,-0.010833899493660601,0.005753899404338283,FD / cluster-by-country
stringency_mean,0.0020065236809851945,0.0023345191680693854,0.8595019087568947,-0.0025690498096492104,0.006582097171619599,FD / cluster-by-country
