,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
phi,1.292,0.046,1.202,1.383,0.0,0.001,10120.0,5915.0,1.0
beta_p,0.049,0.043,-0.037,0.129,0.0,0.0,11640.0,6592.0,1.0
beta_s,0.005,0.034,-0.062,0.071,0.0,0.0,15276.0,5606.0,1.0
gamma[log_pop],-0.028,0.05,-0.123,0.075,0.001,0.001,9306.0,6544.0,1.0
gamma[urban_pct],0.041,0.042,-0.038,0.126,0.0,0.0,11234.0,6492.0,1.0
gamma[health_exp_gdp],0.016,0.047,-0.078,0.107,0.0,0.001,10532.0,6325.0,1.0
gamma[ethnic_frac],-0.026,0.039,-0.103,0.047,0.0,0.0,12146.0,6521.0,1.0
mu_a,-0.127,0.049,-0.217,-0.026,0.001,0.001,8663.0,5725.0,1.0
sigma_region,0.071,0.06,0.0,0.186,0.001,0.001,3536.0,4889.0,1.0
sigma_country,0.06,0.044,0.0,0.143,0.001,0.001,3833.0,4195.0,1.0
sigma_y,0.345,0.025,0.296,0.393,0.0,0.0,11903.0,5669.0,1.0
