,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
phi,1.283,0.046,1.19,1.371,0.0,0.001,9507.0,6028.0,1.0
beta_p,-0.005,0.049,-0.104,0.09,0.0,0.001,10708.0,6123.0,1.0
beta_s,-0.009,0.035,-0.08,0.056,0.0,0.0,14613.0,5609.0,1.0
delta_p,-0.076,0.039,-0.15,-0.0,0.0,0.0,10707.0,6346.0,1.0
delta_s,-0.026,0.037,-0.098,0.047,0.0,0.0,14181.0,6355.0,1.0
gamma[log_pop],-0.025,0.051,-0.13,0.072,0.001,0.001,8543.0,5417.0,1.0
gamma[urban_pct],0.024,0.042,-0.063,0.105,0.0,0.0,9068.0,4465.0,1.0
gamma[health_exp_gdp],0.017,0.047,-0.074,0.11,0.0,0.001,9499.0,6525.0,1.0
gamma[ethnic_frac],-0.029,0.039,-0.103,0.049,0.0,0.0,10102.0,4771.0,1.0
mu_a,-0.161,0.052,-0.266,-0.061,0.001,0.001,6554.0,4191.0,1.0
sigma_region,0.074,0.064,0.0,0.193,0.001,0.002,3265.0,3303.0,1.0
sigma_country,0.067,0.047,0.0,0.154,0.001,0.001,2512.0,4041.0,1.0
sigma_y,0.34,0.025,0.292,0.39,0.0,0.0,10367.0,6337.0,1.0
