,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
phi,1.135,0.093,0.946,1.307,0.002,0.001,2518.0,3084.0,1.0
beta_p,-0.049,0.068,-0.189,0.076,0.001,0.001,5511.0,5974.0,1.0
beta_s,0.047,0.046,-0.044,0.138,0.0,0.001,11790.0,5849.0,1.0
gamma[log_pop],-0.072,0.089,-0.246,0.1,0.001,0.001,3931.0,3972.0,1.0
gamma[urban_pct],0.038,0.076,-0.106,0.191,0.001,0.001,4690.0,4927.0,1.0
gamma[health_exp_gdp],0.014,0.079,-0.141,0.17,0.001,0.001,4415.0,4933.0,1.0
gamma[ethnic_frac],-0.032,0.07,-0.171,0.106,0.001,0.001,6075.0,5563.0,1.0
mu_a,-0.152,0.089,-0.322,0.024,0.002,0.004,4651.0,3830.0,1.0
sigma_region,0.129,0.109,0.0,0.331,0.002,0.003,2292.0,3458.0,1.0
sigma_country,0.273,0.098,0.066,0.465,0.003,0.002,1342.0,1308.0,1.0
sigma_y,0.416,0.043,0.338,0.502,0.001,0.0,2454.0,4141.0,1.0
