,mean,sd,hdi_3%,hdi_97%,ess_bulk,r_hat
phi,1.3276204357027963,0.08132357838687952,1.169404001005716,1.4771574047750715,8322.576332130731,1.000584378974031
beta_p,0.01964156495037958,0.04767818483816031,-0.07039836055724052,0.1065153381127293,12571.956914498382,1.0000200592699007
beta_s,-0.004060461491824118,0.034585435159386224,-0.06960251869500415,0.060142592160188864,17500.406066074513,0.9998930655649747
beta_inter_p,-0.10243414611324203,0.06770645999486552,-0.2249084877899264,0.0292932862497706,10868.470950955721,0.9998307852368885
beta_inter_s,0.02460865252514676,0.08438188766044367,-0.13459017817524008,0.18237004546297939,9657.389253941617,1.0000828780396267
beta_pop,-0.04583492424487612,0.05177985916514118,-0.14074429131500948,0.05361216792869098,9181.761890254667,1.0009418005247595
beta_urb,0.03459283133282298,0.040766335918481486,-0.04211812090070978,0.11153009673903755,10550.571061178238,1.0001543715907695
beta_hlth,0.024614267595218082,0.04722712340939636,-0.06240752420731815,0.11662299838940071,9990.715779482352,1.0000233924001563
beta_eth,-0.03120852119871332,0.037841783303563595,-0.10048023394165397,0.04008606752647913,12003.116372780789,1.000046486405287
mu_a,-0.12479343717965515,0.0495965650694734,-0.2179196142093814,-0.030519168498446846,7999.682920478906,1.0005338002357218
sigma_region,0.07292809688150681,0.06262790392629942,7.111866224370609e-05,0.18236726394127675,2976.8560337542585,1.001070077891521
sigma_country,0.0591732464119537,0.043682877317150856,1.7416577622642643e-05,0.13719809034821284,4007.4535797098724,1.0011690103501836
sigma_y,0.34393246820906864,0.025389684134182744,0.29923159347585837,0.3936159885530785,11975.318333467376,1.000449360049895
