,mean,sd,hdi_3%,hdi_97%,ess_bulk,r_hat
phi,1.13 ,0.10 ,0.94 ,1.30 ,2546.06 ,1.00 
beta_p2,-0.05 ,0.07 ,-0.18 ,0.08 ,5784.70 ,1.00 
beta_s2,0.05 ,0.05 ,-0.04 ,0.14 ,13016.92 ,1.00 
beta_pop,-0.07 ,0.09 ,-0.25 ,0.09 ,5170.28 ,1.00 
beta_urb,0.04 ,0.08 ,-0.10 ,0.19 ,4878.15 ,1.00 
beta_hlth,0.01 ,0.08 ,-0.14 ,0.17 ,6224.08 ,1.00 
beta_eth,-0.03 ,0.07 ,-0.17 ,0.10 ,5973.64 ,1.00 
mu_a,-0.16 ,0.09 ,-0.31 ,0.02 ,3451.61 ,1.00 
sigma_region,0.13 ,0.11 ,0.00 ,0.32 ,2361.35 ,1.00 
sigma_country,0.28 ,0.10 ,0.09 ,0.47 ,1204.13 ,1.01 
sigma_y,0.41 ,0.04 ,0.34 ,0.50 ,2140.30 ,1.00 
